Order_ID,Date,Category,Product,Region,Sales,Quantity,Profit
1036,2024-06-01,Смартфони,Samsung Galaxy,Київ,20000,2,3000
1037,2024-06-05,Ноутбуки,Lenovo IdeaPad,Одеса,24800,1,4250
1038,2024-06-08,Планшети,iPad Air,Київ,21500,1,3200
1039,2024-06-12,Аксесуари,Logitech Mouse,Дніпро,1250,6,430
1040,2024-06-15,Смартфони,iPhone 15,Львів,43000,1,6500
1041,2024-06-19,Ноутбуки,MacBook Air,Харків,52500,1,8600
1042,2024-06-22,Аксесуари,Apple Watch,Київ,12800,2,2150
1043,2024-06-26,Планшети,iPad Pro,Одеса,38500,1,5900
1044,2024-06-29,Смартфони,Xiaomi 13,Дніпро,17000,1,2420
1045,2024-07-03,Ноутбуки,ASUS ZenBook,Київ,31500,1,5300
1046,2024-07-06,Аксесуари,JBL Speaker,Львів,3400,2,750
1047,2024-07-10,Смартфони,Samsung Galaxy,Харків,19800,1,2980
1048,2024-07-13,Планшети,Samsung Tab,Київ,15200,2,2250
1049,2024-07-17,Ноутбуки,HP Pavilion,Одеса,28500,1,4700
1050,2024-07-20,Аксесуари,AirPods,Дніпро,5900,3,1270
1051,2024-07-24,Смартфони,iPhone 15,Київ,43500,1,6600
1052,2024-07-27,Ноутбуки,Dell XPS,Львів,46500,1,7500
1053,2024-07-31,Планшети,iPad Air,Харків,22500,1,3400
1054,2024-08-03,Аксесуари,Logitech Mouse,Київ,1350,5,440
1055,2024-08-07,Смартфони,Xiaomi 13,Одеса,17500,2,2500
1056,2024-08-10,Ноутбуки,Lenovo IdeaPad,Дніпро,25500,1,4400
1057,2024-08-14,Планшети,iPad Pro,Київ,39500,1,6100
1058,2024-08-17,Аксесуари,Apple Watch,Львів,13200,1,2250
1059,2024-08-21,Смартфони,Samsung Galaxy,Харків,20200,1,3050
1060,2024-08-24,Ноутбуки,MacBook Air,Київ,54000,1,8800
1061,2024-08-28,Планшети,Samsung Tab,Одеса,15500,1,2300
1062,2024-09-01,Аксесуари,JBL Speaker,Дніпро,3600,2,800
1063,2024-09-04,Смартфони,iPhone 15,Київ,44000,1,6700
1064,2024-09-08,Ноутбуки,ASUS ZenBook,Львів,32500,1,5500
1065,2024-09-11,Планшети,iPad Air,Харків,23000,1,3500
1066,2024-09-15,Аксесуари,AirPods,Київ,6000,2,1300
1067,2024-09-18,Смартфони,Xiaomi 13,Одеса,18000,1,2600
1068,2024-09-22,Ноутбуки,HP Pavilion,Дніпро,29000,1,4800
1069,2024-09-25,Планшети,iPad Pro,Київ,40000,1,6200
1070,2024-09-29,Аксесуари,Logitech Mouse,Львів,1400,4,460
1071,2024-10-02,Смартфони,Samsung Galaxy,Харків,20500,2,3100
1072,2024-10-06,Ноутбуки,Dell XPS,Київ,47000,1,7600
1073,2024-10-09,Планшети,Samsung Tab,Одеса,16000,2,2400
1074,2024-10-13,Аксесуари,Apple Watch,Дніпро,13500,1,2300
1075,2024-10-16,Смартфони,iPhone 15,Київ,44500,1,6800
1076,2024-10-20,Ноутбуки,Lenovo IdeaPad,Львів,26000,1,4500
1077,2024-10-23,Планшети,iPad Air,Харків,23500,1,3600
1078,2024-10-27,Аксесуари,JBL Speaker,Київ,3800,3,850
1079,2024-10-30,Смартфони,Xiaomi 13,Одеса,18500,1,2700
1080,2024-11-03,Ноутбуки,MacBook Air,Дніпро,55000,1,9000
1081,2024-11-06,Планшети,iPad Pro,Київ,41000,1,6400
1082,2024-11-10,Аксесуари,AirPods,Львів,6200,2,1350
1083,2024-11-13,Смартфони,Samsung Galaxy,Харків,21000,1,3200
1084,2024-11-17,Ноутбуки,ASUS ZenBook,Київ,33000,1,5600
1085,2024-11-20,Планшети,Samsung Tab,Одеса,16500,1,2500
1086,2024-11-24,Аксесуари,Logitech Mouse,Дніпро,1500,6,480
1087,2024-11-27,Смартфони,iPhone 15,Київ,45000,1,6900
1088,2024-12-01,Ноутбуки,HP Pavilion,Львів,30000,1,4900
1089,2024-12-04,Планшети,iPad Air,Харків,24000,1,3700
1090,2024-12-08,Аксесуари,Apple Watch,Київ,14000,2,2400
1091,2024-12-11,Смартфони,Xiaomi 13,Одеса,19000,2,2750
1092,2024-12-15,Ноутбуки,Dell XPS,Дніпро,48000,1,7800
1093,2024-12-18,Планшети,iPad Pro,Київ,42000,1,6600
1094,2024-12-22,Аксесуари,JBL Speaker,Львів,4000,2,900
1095,2024-12-25,Смартфони,Samsung Galaxy,Харків,21500,1,3250
1096,2024-12-28,Ноутбуки,Lenovo IdeaPad,Київ,27000,1,4600
1097,2024-01-07,Аксесуари,AirPods,Дніпро,5500,1,1180
1098,2024-01-10,Ноутбуки,Dell XPS,Харків,44500,1,7100
1099,2024-01-14,Смартфони,iPhone 15,Одеса,41000,1,6150
1100,2024-01-20,Планшети,iPad Pro,Дніпро,37500,1,5700
1101,2024-02-03,Ноутбуки,MacBook Air,Одеса,51500,1,8400
1102,2024-02-09,Аксесуари,Apple Watch,Київ,12200,1,2050
1103,2024-02-16,Смартфони,Xiaomi 13,Львів,16200,2,2300
1104,2024-02-22,Планшети,iPad Air,Дніпро,20500,1,3000
1105,2024-03-01,Аксесуари,JBL Speaker,Одеса,3100,2,680
1106,2024-03-08,Ноутбуки,ASUS ZenBook,Київ,30500,1,5100
1107,2024-03-14,Смартфони,Samsung Galaxy,Дніпро,18700,2,2820
1108,2024-03-19,Планшети,Samsung Tab,Одеса,14200,1,2050
1109,2024-03-22,Аксесуари,Logitech Mouse,Київ,1150,7,380
1110,2024-03-30,Смартфони,iPhone 15,Харків,41200,1,6180
1111,2024-04-04,Ноутбуки,HP Pavilion,Львів,27200,1,4480
1112,2024-04-08,Планшети,iPad Pro,Харків,37800,1,5750
1113,2024-04-13,Аксесуари,AirPods,Київ,5650,3,1210
1114,2024-04-17,Смартфони,Xiaomi 13,Дніпро,16900,1,2410
1115,2024-04-21,Ноутбуки,Lenovo IdeaPad,Одеса,24200,1,4150
1116,2024-04-27,Планшети,iPad Air,Київ,21200,1,3150
1117,2024-05-02,Аксесуари,Apple Watch,Харків,12600,1,2120
1118,2024-05-08,Смартфони,Samsung Galaxy,Одеса,19100,1,2870
1119,2024-05-13,Ноутбуки,Dell XPS,Дніпро,45500,1,7300
1120,2024-05-17,Планшети,Samsung Tab,Київ,14600,2,2120
1121,2024-05-22,Аксесуари,JBL Speaker,Львів,3300,1,720
1122,2024-05-26,Смартфони,iPhone 15,Харків,42200,1,6350
1123,2024-05-30,Ноутбуки,MacBook Air,Київ,52800,1,8650
1124,2024-06-03,Планшети,iPad Pro,Одеса,38200,1,5850
1125,2024-06-07,Аксесуари,Logitech Mouse,Дніпро,1280,5,415
1126,2024-06-11,Смартфони,Xiaomi 13,Київ,17100,2,2450
1127,2024-06-14,Ноутбуки,ASUS ZenBook,Харків,31200,1,5250
1128,2024-06-18,Планшети,iPad Air,Львів,21800,1,3250
1129,2024-06-23,Аксесуари,AirPods,Одеса,5750,2,1240
1130,2024-06-27,Смартфони,Samsung Galaxy,Дніпро,19600,1,2960
1131,2024-07-02,Ноутбуки,HP Pavilion,Київ,28200,1,4620
1132,2024-07-05,Планшети,iPad Pro,Харків,38800,1,5950
1133,2024-07-09,Аксесуари,Apple Watch,Львів,12900,1,2180
1134,2024-07-12,Смартфони,iPhone 15,Одеса,43200,1,6520
1135,2024-07-16,Ноутбуки,Dell XPS,Дніпро,46200,1,7450
1136,2024-07-19,Планшети,Samsung Tab,Київ,15100,1,2200
1137,2024-07-23,Аксесуари,JBL Speaker,Харків,3450,2,760
1138,2024-07-26,Смартфони,Xiaomi 13,Львів,17800,1,2550
1139,2024-07-30,Ноутбуки,Lenovo IdeaPad,Одеса,25200,1,4320
1140,2024-08-02,Планшети,iPad Air,Дніпро,22200,1,3350
1141,2024-08-06,Аксесуари,Logitech Mouse,Київ,1320,5,430
1142,2024-08-09,Смартфони,Samsung Galaxy,Харків,20100,2,3020
1143,2024-08-13,Ноутбуки,MacBook Air,Львів,53500,1,8750
1144,2024-08-16,Планшети,iPad Pro,Київ,39200,1,6050
1145,2024-08-20,Аксесуари,AirPods,Одеса,5950,2,1280
1146,2024-08-23,Смартфони,iPhone 15,Дніпро,43800,1,6620
1147,2024-08-27,Ноутбуки,ASUS ZenBook,Харків,32200,1,5420
1148,2024-08-31,Планшети,Samsung Tab,Київ,15800,2,2350
1149,2024-09-03,Аксесуари,Apple Watch,Львів,13100,1,2220
1150,2024-09-07,Смартфони,Xiaomi 13,Одеса,18200,1,2620
1151,2024-09-10,Ноутбуки,HP Pavilion,Дніпро,28800,1,4750
1152,2024-09-14,Планшети,iPad Air,Київ,22800,1,3450
1153,2024-09-17,Аксесуари,JBL Speaker,Харків,3550,3,780
1154,2024-09-21,Смартфони,Samsung Galaxy,Львів,20400,1,3080
1155,2024-09-24,Ноутбуки,Dell XPS,Одеса,46800,1,7550
1156,2024-09-28,Планшети,iPad Pro,Дніпро,39800,1,6150
1157,2024-10-01,Аксесуари,Logitech Mouse,Київ,1380,6,445
1158,2024-10-05,Смартфони,iPhone 15,Харків,44200,1,6720
1159,2024-10-08,Ноутбуки,Lenovo IdeaPad,Львів,25800,1,4420
1160,2024-10-12,Планшети,Samsung Tab,Одеса,16200,1,2420
1161,2024-10-15,Аксесуари,AirPods,Дніпро,6050,2,1320
1162,2024-10-19,Смартфони,Xiaomi 13,Київ,18800,2,2700
1163,2024-10-22,Ноутбуки,MacBook Air,Харків,54500,1,8900
1164,2024-10-26,Планшети,iPad Air,Львів,23200,1,3500
1165,2024-10-29,Аксесуари,Apple Watch,Одеса,13800,1,2350
1166,2024-11-02,Смартфони,Samsung Galaxy,Дніпро,20800,1,3140
1167,2024-11-05,Ноутбуки,ASUS ZenBook,Київ,32800,1,5520
1168,2024-11-09,Планшети,iPad Pro,Харків,40500,1,6280
1169,2024-11-12,Аксесуари,JBL Speaker,Львів,3700,2,820
1170,2024-11-16,Смартфони,iPhone 15,Одеса,44800,1,6820
1171,2024-11-19,Ноутбуки,HP Pavilion,Дніпро,29500,1,4850
1172,2024-11-23,Планшети,Samsung Tab,Київ,16800,2,2500
1173,2024-11-26,Аксесуари,Logitech Mouse,Харків,1450,7,470
1174,2024-11-30,Смартфони,Xiaomi 13,Львів,19200,1,2780
1175,2024-12-03,Ноутбуки,Dell XPS,Одеса,47500,1,7650
1176,2024-12-07,Планшети,iPad Air,Дніпро,23800,1,3620
1177,2024-12-10,Аксесуари,AirPods,Київ,6150,3,1340
1178,2024-12-14,Смартфони,Samsung Galaxy,Харків,21200,2,3200
1179,2024-12-17,Ноутбуки,MacBook Air,Львів,55500,1,9100
1180,2024-12-21,Планшети,iPad Pro,Одеса,41500,1,6450
1181,2024-12-24,Аксесуари,Apple Watch,Дніпро,14200,2,2420
1182,2024-12-27,Смартфони,iPhone 15,Київ,45500,1,6950
1183,2024-01-22,Ноутбуки,ASUS ZenBook,Одеса,30200,1,5050
1184,2024-01-25,Планшети,Samsung Tab,Дніпро,13800,2,1980
1185,2024-01-29,Аксесуари,JBL Speaker,Харків,2900,2,640
1186,2024-02-05,Смартфони,Samsung Galaxy,Київ,18500,1,2780
1187,2024-02-11,Ноутбуки,HP Pavilion,Одеса,26800,1,4380
1188,2024-02-17,Планшети,iPad Air,Дніпро,20200,1,2980
1189,2024-02-21,Аксесуари,Logitech Mouse,Київ,1100,8,360
1190,2024-02-27,Смартфони,Xiaomi 13,Харків,15900,1,2280
1191,2024-03-04,Ноутбуки,Dell XPS,Львів,43800,1,7000
1192,2024-03-09,Планшети,iPad Pro,Одеса,36800,1,5600
1193,2024-03-15,Аксесуари,AirPods,Дніпро,5400,2,1160
1194,2024-03-20,Смартфони,iPhone 15,Київ,40500,1,6080
1195,2024-04-01,Ноутбуки,MacBook Air,Харків,51000,1,8300
1196,2024-04-06,Планшети,Samsung Tab,Львів,13500,1,1950
1197,2024-04-10,Аксесуари,Apple Watch,Одеса,11900,1,2000
1198,2024-04-14,Смартфони,Samsung Galaxy,Дніпро,18200,2,2740
1199,2024-04-18,Ноутбуки,Lenovo IdeaPad,Київ,23800,1,4100
1200,2024-04-22,Планшети,iPad Air,Харків,20800,1,3050
